userid,ques_count,ans_count,comment_count
9867,2,6,4
9941,2,1,2
9966,1,12,13
9988,14,8,19
10024,3,3,5
10049,5,2,1
10094,4,3,5
10127,1,4,2
10171,4,1,2
10314,2,4,1
10327,3,10,7
10345,10,11,18
10427,1,2,1
10462,3,2,3
10463,2,1,2
10512,8,1,9
10548,6,4,2
10620,3,37,29
10683,2,3,4
10694,3,1,3
10701,1,1,2
10777,1,5,5
10814,2,33,74
10815,1,1,6
10882,1,3,9
10902,4,28,25
10938,3,2,3
10949,1,1,2
10975,2,2,3
10998,1,1,4
11097,18,112,283
11141,3,7,5
12202,15,2,26
12215,1,1,1
12241,3,6,12
12312,1,1,2
12363,5,14,24
12384,1,37,64
12443,12,2,2
12473,4,62,80
12515,22,59,50
12527,4,15,21
12536,1,1,2
12580,1,4,3
12792,1,1,1
12858,2,3,5
12867,9,2,22
12898,1,1,1
12942,1,11,2
12987,1,1,4
13002,1,3,3
13023,7,42,54
13027,1,1,1
13087,6,1,6
13100,14,1,34
13165,12,2,11
13213,1,9,7
13285,3,10,46
13348,2,1,7
13384,1,2,5
13413,6,29,47
13416,1,1,2
13450,10,1,15
13457,5,1,4
13485,2,1,3
13517,1,2,1
13518,26,11,28
13521,1,2,3
13529,1,1,1
13578,1,2,4
13625,4,1,3
13686,6,18,26
13714,3,2,4
13727,1,65,99
13736,41,5,53
13833,1,3,10
13891,10,1,13
14006,1,58,69
14009,2,1,3
14070,6,2,5
14152,1,4,5
14167,2,1,3
14200,4,1,4
14310,1,7,12
14327,1,1,2
14340,1,1,1
14360,11,2,38
14372,4,8,22
14391,1,1,3
14427,4,1,5
14518,1,4,26
14560,4,30,45
14562,1,2,1
14588,1,55,38
14625,1,2,5
14665,1,1,1
14667,4,1,12
14672,4,2,2
14675,2,310,365
14684,5,1,3
14732,1,2,1
14789,3,1,5
14829,2,3,5
14904,11,184,192
14909,14,4,40
14955,1,1,3
14981,1,1,2
14994,1,22,12
15083,1,1,1
15215,2,3,4
15325,9,2,8
15361,1,30,38
15412,21,40,76
15569,9,28,28
15604,1,2,1
15613,26,1,11
15690,4,1,9
15735,3,1,3
15790,2,4,1
15828,6,52,82
15847,1,1,2
15850,2,1,1
15905,2,1,3
15927,5,1,12
15946,5,4,9
16024,6,36,43
16050,15,3,11
16111,4,3,12
16135,2,4,1
16195,1,1,2
16199,2,1,5
16201,1,1,2
16218,5,2,1
16284,1,17,23
16310,2,2,1
16338,3,2,4
16368,2,6,8
16427,1,1,3
16538,2,21,26
16546,8,1,5
16548,1,1,1
16680,2,1,3
16693,1,1,1
16699,2,1,1
16812,2,4,4
16853,6,48,132
16855,1,1,1
16872,1,1,2
16964,3,1,7
16971,3,3,2
17021,2,1,3
17036,2,1,3
17047,4,2,8
17054,4,1,1
17116,5,8,16
17208,7,33,43
17256,1,3,1
17283,2,1,1
17290,2,36,23
17355,1,2,2
17359,2,1,3
17484,12,2,10
17618,1,1,4
17696,3,61,38
17712,1,1,1
17784,2,1,5
17959,2,9,8
17987,1,1,1
18019,1,1,4
18047,2,1,1
18139,9,1,6
18150,1,12,25
18246,2,1,3
18247,2,3,9
18321,1,3,1
18369,3,1,6
18407,1,1,1
18418,3,11,8
18434,4,26,15
18452,1,1,1
18465,1,11,10
18481,2,2,6
18632,1,1,6
18661,7,10,14
18665,2,1,4
18680,1,1,1
18682,2,1,1
18693,3,1,2
18843,10,13,23
19056,1,1,3
19065,3,1,7
19067,5,1,7
19094,1,1,2
19096,3,3,1
19161,2,41,91
19172,2,1,3
19212,13,2,18
19261,8,3,17
20327,2,2,3
20372,3,15,31
20374,2,1,4
20429,8,6,9
20517,3,9,8
20524,1,1,2
20544,2,1,3
20585,14,1,17
20722,2,5,5
20800,3,1,3
20907,1,4,3
20974,4,1,1
20995,1,1,9
21024,14,51,73
21044,2,4,2
21056,1,1,1
21086,1,1,5
21145,1,1,1
21182,1,1,1
21198,3,1,4
21232,5,6,24
21251,2,1,6
21254,26,1,39
21257,6,1,19
21262,2,1,1
21433,2,6,18
21464,2,1,1
21473,1,1,3
21560,53,2,34
21596,5,2,9
21608,1,56,63
21625,1,1,5
21692,1,2,1
21749,3,19,12
21755,1,2,1
21988,2,6,5
22012,4,4,3
22054,1,2,3
23091,1,2,1
23097,2,1,2
23159,3,57,56
23240,29,101,155
23262,1,1,4
23305,5,132,303
23334,4,3,18
23380,1,8,7
23416,1,7,4
23492,3,20,23
23556,4,1,1
23567,3,1,2
23614,2,3,6
23679,3,1,2
23710,4,5,4
23773,4,3,5
23800,3,1,3
23851,2,1,2
23905,1,3,4
23945,1,1,1
23983,1,1,1
23997,1,1,1
24011,2,1,1
24119,11,1,21
24157,3,1,2
24180,1,1,2
24379,3,4,3
24392,1,1,4
24409,2,25,39
24412,1,3,2
24420,1,1,1
24453,1,3,6
24575,2,2,1
24593,1,42,31
24651,5,1,9
24662,1,1,2
24696,9,3,21
24703,5,1,1
24714,1,1,1
24742,3,1,3
24792,3,5,5
24813,1,1,2
24818,2,14,6
24885,21,8,18
24895,5,16,21
24913,2,1,1
24968,2,4,2
24984,6,1,2
25115,1,1,1
25163,3,1,1
25289,1,1,1
25311,2,9,8
25345,2,2,4
25529,1,2,6
25583,1,1,1
25611,3,3,5
25673,3,2,11
25800,1,21,9
25837,4,2,3
25843,1,1,12
25867,4,1,1
25915,2,2,2
26019,18,11,76
26050,2,5,1
26141,2,1,5
26163,16,2,29
26202,9,11,10
26211,1,2,2
26239,1,1,7
26257,1,2,2
26260,1,1,1
26316,2,2,2
26329,8,1,13
26444,2,20,7
26525,3,5,4
26562,2,74,81
26643,5,3,1
26675,2,1,2
26748,1,3,1
26800,4,1,2
26814,1,3,10
26856,11,1,11
26976,3,1,4
27003,2,5,7
27172,1,2,3
27226,2,1,4
27250,2,13,68
27396,2,1,1
27432,2,54,134
27519,2,1,1
27537,1,4,4
27634,2,1,2
27665,1,54,20
27702,1,2,2
27741,2,1,6
27768,3,2,19
27873,2,5,2
27906,1,1,1
27916,10,31,38
27962,5,1,2
27983,4,44,53
27984,1,2,2
27992,1,1,3
28011,2,1,1
28101,1,2,1
28175,24,344,878
28209,1,2,2
28234,1,1,1
28367,1,1,2
28384,3,2,4
28581,1,1,1
28628,3,60,58
28685,2,10,4
28714,1,2,3
28915,3,1,2
28916,3,1,2
28917,2,1,1
28938,2,1,1
29064,1,3,1
29090,2,1,2
29109,1,1,1
29134,2,39,28
29157,7,5,17
29169,8,27,72
29217,2,44,64
29260,1,2,1
29335,1,2,2
29348,1,1,2
29353,2,3,7
29365,2,2,6
29399,2,1,2
29412,2,25,28
29430,9,1,6
29456,1,1,1
29457,1,1,1
29479,1,1,2
29534,3,4,1
29644,2,2,2
29714,3,3,4
29767,1,1,3
29799,1,2,1
29801,1,4,3
29810,3,1,5
29882,2,3,2
29889,2,1,2
29897,1,1,1
29912,2,2,5
29914,2,1,6
29931,4,2,4
30006,11,1,2
30017,1,1,1
30036,1,2,1
30043,1,3,2
30075,1,2,7
30099,1,1,1
30107,3,27,34
30121,2,2,1
30173,1,1,1
30210,3,1,2
30335,14,4,19
30346,1,1,6
30359,5,6,5
30370,2,2,3
30381,2,1,1
30392,1,1,2
30406,2,1,5
30459,1,3,4
30464,4,1,7
30507,2,8,8
30519,1,1,3
30578,1,13,8
30613,5,2,11
30624,1,4,15
30754,1,1,2
30805,1,1,1
30838,1,1,1
31015,2,6,3
31038,1,1,11
31043,1,1,2
31046,4,5,9
31086,2,19,36
31186,1,1,1
31245,1,4,11
31346,1,2,7
31399,1,2,1
31434,14,37,89
31446,2,3,2
31457,1,6,13
31496,4,1,4
31528,1,1,1
31582,1,2,1
31599,14,3,31
31626,3,1,3
31736,3,1,1
31819,2,1,3
31822,4,10,7
32189,1,4,2
32192,4,1,12
32230,2,5,11
32240,3,2,10
32243,26,4,23
32280,5,2,8
32288,7,7,5
32402,1,10,15
32429,18,2,8
32433,1,1,6
32440,2,14,58
32554,1,1,2
32569,1,1,1
32637,1,1,4
32669,4,2,9
32686,2,9,19
32762,3,5,1
32764,2,3,1
32860,6,2,8
32884,2,6,13
32906,1,1,2
32958,1,4,4
33020,14,6,18
33137,3,1,9
33163,2,1,1
33183,10,1,4
33188,1,1,4
33245,5,3,8
33272,2,1,2
33279,20,1,16
33323,5,1,3
33334,1,1,2
33338,14,4,25
33393,1,1,6
33530,1,1,1
33532,1,2,1
33551,1,91,77
33603,3,25,37
33681,5,1,6
33701,3,6,16
33716,2,1,9
33922,1,11,4
33970,2,1,2
33978,3,5,9
34028,3,9,23
34033,1,2,5
34110,1,1,2
34116,1,3,1
34138,7,2,4
34153,1,40,28
34165,3,6,12
35420,2,1,4
35437,1,1,3
35481,1,1,4
35596,1,2,8
35644,5,70,689
35795,1,1,1
35809,2,2,3
35930,6,1,7
36935,4,1,1
36949,3,3,3
37022,1,1,3
37059,14,7,27
37109,3,4,15
37125,1,1,6
37330,6,28,20
37363,29,4,26
37548,6,2,16
37572,1,5,5
37626,8,13,12
37648,1,12,11
37736,5,1,7
37776,6,1,4
37793,1,9,9
37808,2,3,8
37814,4,1,9
37822,7,9,28
37932,4,1,6
38271,1,8,3
38330,4,1,6
38339,5,25,21
38355,1,11,4
38492,5,3,9
38596,1,1,3
38657,5,13,16
38887,9,163,214
38911,8,3,28
38917,2,1,1
39052,1,1,1
39198,2,2,3
39208,1,3,2
39233,4,1,4
39274,1,1,1
39311,1,1,1
39338,3,8,19
39387,5,1,3
39423,2,1,1
39501,1,1,4
39513,2,7,5
39547,3,1,4
39640,1,1,2
39706,4,3,3
39811,1,4,1
39814,1,1,5
39820,1,3,3
39830,10,7,19
39907,1,1,1
39934,1,4,2
39963,1,49,13
40029,4,2,7
40137,2,3,4
40139,1,1,3
40182,4,1,2
40360,1,1,6
40426,4,1,4
40711,1,1,1
40791,5,1,8
40853,1,92,281
40857,1,3,4
40951,8,1,9
41000,2,4,11
41004,1,1,2
41047,1,1,4
41058,4,8,8
41072,2,1,16
41087,1,1,1
41193,1,15,13
41204,16,5,14
41254,1,1,1
41306,2,1,4
41312,3,3,2
41460,4,2,10
41491,2,1,2
41525,1,40,63
41557,16,2,7
41591,20,8,26
41728,1,42,40
41777,1,1,2
41886,1,45,38
41888,3,1,7
41929,14,15,9
42058,1,1,7
42238,4,1,6
42248,3,3,3
42354,1,20,15
42424,3,2,6
42460,1,3,1
42488,1,10,9
42498,9,5,8
42515,1,1,2
42613,1,1,5
42622,1,3,6
42648,1,2,1
42681,4,2,6
42821,1,9,4
42831,1,3,1
42852,1,1,5
42882,3,3,9
42903,1,2,2
42926,1,9,7
42940,2,1,1
42945,3,1,4
43061,1,1,1
43077,66,32,101
43108,1,7,5
43110,3,1,16
43147,3,16,4
43215,1,10,6
43243,1,1,2
43398,3,1,5
43438,1,10,7
43455,13,3,17
43469,2,4,11
43472,10,11,16
43473,7,1,7
43497,1,5,1
43508,1,1,2
43514,3,1,4
43569,1,1,1
43621,1,1,1
43765,2,1,4
43801,2,1,3
43870,8,4,14
43921,4,1,4
43954,1,2,1
43983,4,4,7
43996,1,3,1
44039,1,34,44
44074,1,2,2
44083,7,1,6
44139,4,48,119
44189,1,1,1
44198,1,4,2
44299,3,6,6
44305,3,2,8
44340,1,1,1
44389,2,10,7
44424,1,1,1
44456,15,76,255
44537,1,5,4
44637,3,4,2
44654,2,1,1
44658,2,1,2
44680,11,5,20
44808,9,1,5
44865,2,1,3
44945,1,1,2
44965,3,1,7
44994,4,2,3
45058,1,1,3
45086,1,7,6
45107,2,2,5
45166,1,50,36
45177,3,16,16
45182,3,3,4
45191,8,2,11
45216,1,1,2
45264,1,429,407
45289,1,1,2
45356,1,1,1
45374,2,81,78
45385,2,4,10
45389,1,1,2
45433,1,1,7
45450,3,1,1
45494,2,1,2
45506,2,6,9
45507,2,45,66
45545,1,3,4
45603,9,2,10
45610,31,1,108
45698,1,1,1
45726,1,21,11
45799,1,7,37
45821,6,2,15
45852,2,2,1
45907,31,1,14
45913,1,1,2
46107,3,4,2
46143,6,8,10
46200,13,2,15
46282,3,1,3
46293,1,2,5
46356,1,1,6
46360,1,12,6
46374,9,1,14
46433,11,1,2
46490,1,1,4
46628,1,1,2
46645,3,1,3
46674,1,2,5
46782,2,1,7
46785,1,8,7
46981,1,1,1
47022,2,5,1
47074,1,1,2
47078,2,2,10
47488,1,22,22
47522,4,1,3
47569,1,4,2
47635,1,1,1
47637,1,1,1
47649,1,1,2
47688,1,3,3
47699,2,1,1
47728,1,1,5
47783,1,1,1
47832,13,19,138
47842,2,1,3
47869,4,1,2
49017,3,1,3
49032,13,4,15
49061,1,1,3
49114,1,1,1
49143,1,7,8
49226,3,2,4
49290,1,1,5
49293,1,5,8
49332,1,1,2
49456,12,1,21
49466,1,3,2
49517,7,1,18
49542,1,1,3
49577,1,1,4
49590,2,35,47
49617,1,1,4
49637,3,1,1
49700,35,14,95
49770,1,1,2
49780,2,1,2
49884,2,1,2
49914,7,17,23
49997,13,4,10
50030,1,2,1
50039,2,2,5
50083,2,2,2
50146,35,5,62
50257,4,1,5
50338,1,1,1
50406,21,59,56
50445,1,1,1
50471,1,7,6
50519,2,10,7
50532,4,1,1
50534,1,22,40
50641,6,1,2
50689,1,1,1
50727,31,157,213
50746,3,2,1
50811,1,1,6
50828,7,2,9
50832,3,1,5
50833,3,71,50
50862,10,3,13
50863,5,3,5
50870,4,2,4
50896,1,1,1
50899,5,2,4
50992,1,1,2
51007,11,1,10
51024,1,1,3
51044,4,1,4
51125,13,5,22
51126,2,1,8
51129,38,1,38
51163,2,1,1
51209,4,40,36
51223,4,1,4
51262,2,1,2
51280,1,11,4
51369,4,1,9
51411,1,1,3
51431,3,1,3
51638,2,3,1
51668,7,2,5
51708,2,1,7
51714,12,55,135
51778,2,1,2
51812,1,28,21
51836,9,18,23
51839,5,2,1
51852,1,1,1
51993,1,1,1
52089,4,121,94
52109,3,19,30
52196,5,1,4
52290,1,1,1
52300,2,16,27
52350,1,4,2
52360,1,1,3
52426,3,2,4
52480,2,1,7
52494,2,1,3
52588,4,4,10
52589,1,1,2
52601,2,3,4
52648,1,1,1
52678,2,2,1
52713,1,1,3
52719,1,29,45
52762,1,1,1
52816,10,1,15
52823,1,1,5
52832,1,1,1
52852,1,1,1
52860,1,1,1
52885,1,1,1
52891,3,7,2
52902,3,1,7
52940,1,3,1
52972,5,1,1
52974,3,2,3
53001,6,1,8
53025,6,1,3
53039,2,1,1
53137,1,1,2
53151,1,1,2
53357,1,70,57
53361,4,1,4
53372,2,4,4
53479,1,31,106
53648,13,7,12
53721,1,1,3
53790,3,3,1
53812,5,53,57
53818,1,1,2
53976,1,1,1
53985,1,1,2
53994,2,4,4
54040,6,1,7
54178,1,1,3
54205,1,3,5
54209,2,1,1
54229,7,6,5
54252,1,10,8
54343,1,3,2
54390,1,3,1
54395,9,81,129
54442,3,1,4
54468,2,6,1
54503,2,1,1
54581,2,1,5
54587,2,1,4
54612,3,2,2
54623,5,1,8
54671,1,1,1
54754,9,1,9
54907,2,7,4
54953,1,4,8
56177,1,1,4
56195,1,11,3
56227,1,2,5
56354,4,76,38
56433,1,2,2
56537,2,1,3
56883,1,1,1
56913,8,1,4
56922,26,10,75
56927,1,1,1
56938,2,1,4
56985,8,1,3
57019,10,1,12
57082,7,1,11
57091,1,2,6
57098,1,1,1
57099,3,1,4
57148,3,1,5
57209,1,1,5
57233,7,15,15
57237,18,7,10
57250,1,4,1
57310,2,1,8
57330,1,1,3
57429,9,3,22
57434,8,2,17
57461,1,13,3
57493,7,11,18
57545,7,1,3
57561,3,1,3
57588,1,13,19
57610,8,1,3
57662,2,2,3
57691,5,1,14
57700,3,1,7
57727,8,1,5
57779,1,3,3
57789,1,2,6
57967,1,1,3
58135,1,23,15
58155,8,5,7
58196,1,7,4
58261,1,1,1
58300,1,1,1
58334,1,1,3
58341,1,241,227
58376,2,1,2
58384,13,4,1
58445,2,1,3
58449,6,1,6
58471,6,2,10
58488,2,12,24
58499,1,1,2
58587,2,1,3
58629,1,1,2
58635,1,1,1
58679,1,1,4
58685,1,11,21
58736,12,5,20
58746,1,1,3
58747,2,2,1
58789,8,18,12
58824,3,1,1
58923,1,2,1
58977,2,1,5
58990,1,2,1
59004,20,2,18
59013,2,4,10
59087,13,3,22
59136,2,2,3
59142,1,3,1
59160,1,2,1
59162,1,4,2
59171,5,31,54
59174,1,1,6
59178,1,3,1
59193,1,2,1
59252,2,10,10
59271,1,1,2
59298,1,1,1
59310,1,1,4
59385,1,3,8
59387,3,1,10
59389,1,1,1
59396,1,1,2
59553,3,1,4
59563,1,1,4
59586,1,1,1
59783,2,5,3
59854,5,2,4
59868,3,1,10
59947,2,1,4
60011,2,1,1
60026,1,2,3
60094,1,1,1
60172,1,1,1
60206,1,1,3
60239,1,1,1
60445,2,1,2
60503,1,62,100
60574,3,1,1
60636,6,1,6
60648,2,1,1
60710,20,2,21
60714,7,1,10
60742,2,6,6
60782,1,1,1
60902,6,7,11
60946,1,1,1
60974,3,1,1
61156,3,1,2
61159,1,1,1
61239,5,1,2
61253,1,5,9
61332,1,1,1
61378,2,1,6
61406,3,4,6
61445,33,15,42
61484,1,7,10
61522,10,2,19
61563,1,5,1
61621,1,2,5
61676,1,2,2
61880,1,10,7
61883,9,1,10
61904,3,1,1
61916,1,2,7
61998,3,2,4
62069,3,1,3
62077,2,1,3
62082,1,1,3
62097,2,20,14
62128,1,1,2
62282,11,1,11
62386,20,3,37
62446,3,1,10
62614,8,1,5
62641,7,19,35
62725,1,3,3
62846,29,16,18
62938,18,3,22
63011,1,1,1
63096,5,25,14
63171,2,2,3
63228,1,1,3
63237,1,13,11
63282,1,8,7
63327,6,2,6
63377,1,1,3
63445,1,2,2
63449,1,1,1
63471,2,1,4
63481,1,1,2
63565,5,5,19
63620,1,1,2
63654,1,11,7
63693,3,1,1
63767,2,1,3
63779,1,1,8
63800,6,6,3
63843,8,1,3
63896,1,1,1
63906,2,24,38
63932,2,12,11
63995,1,9,7
64096,1,8,7
64137,1,1,2
64230,2,1,3
64356,1,6,2
64469,1,3,2
64500,7,1,9
64577,1,2,4
64596,2,30,43
64758,4,2,3
64760,1,13,28
64775,1,1,1
64856,9,1,2
64889,1,1,6
64950,4,2,12
64981,5,4,3
64985,5,7,4
65131,23,263,301
65153,4,7,21
65225,5,7,4
65228,4,13,10
65232,1,1,1
65292,1,1,2
65309,3,1,1
65323,8,28,25
65398,1,2,2
65447,7,1,3
65495,1,1,3
65556,3,1,6
65559,7,1,9
65655,2,23,28
65699,3,2,7
65710,2,14,19
65733,3,1,3
65767,10,43,56
65776,22,3,42
65908,7,2,4
66022,1,1,12
66029,5,1,8
66104,3,11,14
66117,17,2,21
66177,3,1,3
66194,1,1,2
66252,8,1,5
66386,12,3,15
66508,2,3,6
66612,1,2,1
66736,2,1,3
66759,16,17,15
66782,2,4,4
66788,1,47,62
66804,1,1,3
66861,1,1,1
66901,2,1,1
66974,12,1,26
67050,7,13,41
67068,2,18,17
67110,1,3,3
67183,5,1,7
67307,1,1,6
67412,1,40,38
67502,2,6,8
67508,1,1,1
67537,32,1,44
67986,4,1,3
67993,5,1,5
68006,1,1,2
68013,3,1,2
68023,5,70,137
68025,8,13,37
68048,1,1,1
68068,2,2,6
68154,2,8,23
68208,4,3,8
68260,1,10,18
68283,2,3,2
68313,17,3,1
68333,1,3,1
68370,1,1,2
68389,2,2,4
68457,2,1,1
68460,2,3,6
68494,1,1,3
68639,2,1,3
68664,2,4,3
68706,1,4,2
68783,1,2,1
68818,1,2,1
68975,2,3,7
68990,3,2,1
69151,2,1,2
69263,5,9,16
69296,10,1,9
69452,1,2,8
69478,2,42,55
69484,6,3,13
69515,1,1,2
69518,1,1,4
69569,1,4,10
69614,1,1,1
69646,20,12,30
69670,1,39,33
69671,2,1,1
69689,1,3,2
69744,1,1,1
69777,1,1,1
69793,3,1,3
69800,1,1,1
69806,3,1,3
69822,18,65,96
69823,1,1,1
69845,4,1,2
69963,13,3,7
70152,2,1,1
70169,6,4,12
70297,4,1,8
70307,1,5,3
70320,2,1,2
70342,13,4,25
70393,13,1,32
70460,1,1,2
70478,7,1,6
70614,6,2,6
70832,1,4,2
70862,1,2,1
70950,1,2,3
70994,4,3,4
71218,17,111,69
71246,23,6,75
71297,1,20,41
71375,2,2,1
71442,19,253,523
71515,6,2,7
71525,1,1,1
71533,1,1,1
71544,4,1,2
71567,1,1,6
71581,1,2,8
71759,1,2,2
71824,1,3,1
73039,2,1,2
73114,3,1,10
73150,3,1,8
73209,4,18,5
73259,1,5,1
73365,1,4,3
73399,1,2,4
73441,21,79,74
73446,1,1,1
73521,1,1,1
73600,1,6,2
73609,1,1,2
73740,8,1,15
73792,4,2,2
73795,1,1,1
73796,1,1,13
73930,3,42,223
73938,2,1,8
73965,1,1,3
74036,2,1,1
74040,3,1,5
74068,4,1,4
74118,1,37,20
74140,4,1,2
74267,1,3,2
74294,2,1,1
74339,4,1,1
74397,6,17,17
74421,13,40,87
74497,2,1,1
74525,3,1,1
74560,5,2,3
74719,12,3,7
74724,1,1,2
74725,2,1,11
74839,1,1,4
74855,13,4,16
74873,18,1,9
74973,1,2,5
74982,2,1,5
74985,1,1,3
75096,2,2,1
75102,1,1,2
75124,1,1,1
75157,2,97,155
75158,2,1,3
75218,1,4,2
75260,6,1,4
75405,9,1,4
75474,3,14,11
75528,3,1,4
75552,1,6,3
75553,5,1,1
75570,1,1,2
75685,3,1,1
75687,2,1,2
75738,11,16,14
75841,1,1,5
75890,1,2,1
75897,4,11,34
75982,3,1,1
76087,3,1,1
76109,7,1,8
76154,1,1,3
76209,1,2,6
76236,1,1,1
76265,5,4,1
76275,20,1,9
76306,1,1,4
76386,4,2,2
76412,1,1,1
76484,2,1,2
76546,1,20,24
76635,3,1,1
76779,9,3,17
76787,1,1,1
76794,1,12,1
76801,4,1,7
76811,12,1,12
76917,1,6,11
76937,1,1,1
76955,7,2,9
77015,1,1,4
77052,1,3,4
77061,3,1,1
77102,6,1,17
77162,5,13,30
77164,5,2,4
77170,1,4,4
77295,2,1,3
77356,5,1,20
77360,4,2,9
77386,2,1,7
77831,4,2,21
77875,1,2,3
77900,1,32,31
77914,4,3,4
77928,1,1,3
77950,1,1,1
77970,1,1,2
77977,1,2,1
78059,5,6,2
78067,1,1,1
78078,2,3,3
78098,1,1,2
78107,2,2,10
78131,2,1,9
78184,1,1,1
78269,7,1,3
78365,5,5,1
78377,3,2,1
78392,2,1,3
78409,8,2,11
78443,3,26,25
78512,1,4,2
78564,3,2,3
78585,1,1,4
78683,1,3,2
78698,1,1,1
78730,1,1,5
78821,2,1,2
78867,2,1,6
78870,5,2,2
78897,5,1,7
78998,1,1,1
79037,5,5,4
79049,3,1,11
79110,1,5,3
79133,1,3,3
79160,5,1,8
79186,4,1,4
79193,1,1,1
79227,4,70,79
79231,1,1,1
79235,2,1,2
79434,4,1,12
79523,3,1,4
79530,2,1,2
79542,1,1,2
79600,2,1,2
79602,3,1,7
79728,4,1,5
79753,1,1,3
79779,1,2,3
79782,3,1,3
79817,1,1,2
79844,1,12,7
79863,3,1,3
79892,1,4,1
79904,1,1,1
80034,2,1,1
80071,3,1,2
80072,21,3,59
80106,1,1,4
80129,5,1,10
80143,1,1,2
80221,21,4,28
80272,1,5,2
80285,1,1,1
80396,1,1,1
80406,11,1,31
80416,3,1,3
80425,4,3,2
80547,1,1,2
80582,1,1,2
80732,1,4,4
80761,3,1,5
80775,1,1,1
80850,1,1,1
80860,3,5,4
80969,1,1,2
81995,2,1,4
81999,1,6,4
82016,2,1,8
82030,1,1,3
82088,2,2,3
82528,1,1,1
82603,4,1,5
82643,4,1,3
82659,1,1,3
82698,7,2,1
82778,1,2,6
82809,1,6,2
82826,4,1,6
82861,1,1,1
83161,3,14,7
83265,1,1,4
83273,1,3,1
83275,16,26,9
83302,1,2,1
83361,1,2,1
83375,2,1,2
83425,4,1,3
83459,1,1,6
83473,31,8,48
83520,1,1,1
83598,1,4,1
